x,y,z
608.38657585,14.16925716,0.21433204
608.38657585,14.16925716,0.21433204
609.95213333,14.16925716,0.21341215
609.95213333,14.16925716,0.21341215
610.24567619,14.16925716,0.21295221
610.24567619,13.86699009,0.21295221
610.29459968,13.86699009,0.21295221
610.29459968,13.96774578,0.21295221
610.34352317,13.96774578,0.21295221
610.34352317,13.96774578,0.21295221
610.29459968,13.96774578,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.91736794,0.21295221
610.29459968,13.86699009,0.21295221
610.00105682,13.86699009,0.21295221
610.00105682,13.66547871,0.21295221
609.36504951,13.66547871,0.21295221
609.36504951,13.41358948,0.21295221
608.97365966,13.41358948,0.21341215
608.97365966,13.06094456,0.21341215
608.43549934,13.06094456,0.21433204
608.43549934,12.55716610,0.21433204
608.19088188,12.55716610,0.21479198
608.19088188,12.10376549,0.21479198
607.84841552,12.10376549,0.21525192
607.84841552,11.54961014,0.21525192
607.70164505,11.54961014,0.21525192
607.70164505,10.99545383,0.21525192
607.50594917,10.99545383,0.21525192
607.50594917,10.49167538,0.21525192
607.45702568,10.49167538,0.21387209
607.45702568,9.68562984,0.21387209
607.40810218,9.68562984,0.21479198
607.40810218,8.62769508,0.21479198
607.45702568,8.62769508,0.21479198
607.45702568,8.62769508,0.21479198
607.45702568,7.56976128,0.21479198
607.45702568,6.51182652,0.21479198
607.45702568,6.51182652,0.21433204
607.45702568,5.90729284,0.21433204
607.40810218,5.90729284,0.21433204
607.40810218,5.45389223,0.21433204
607.31025520,5.45389223,0.21433204
607.31025520,5.05086946,0.21433204
607.11456123,5.05086946,0.21433204
606.77209488,5.05086946,0.21479198
606.77209488,4.64784670,0.21479198
606.33178154,4.64784670,0.21479198
606.33178154,4.34558010,0.21479198
606.33178154,4.09369087,0.21479198
605.89146820,4.09369087,0.21571185
605.89146820,3.89217949,0.21571185
605.50007835,3.89217949,0.21663173
605.50007835,3.84180164,0.21663173
605.01084152,3.84180164,0.21755162
605.01084152,3.84180164,0.21755162
604.08129135,3.84180164,0.21893142
604.08129135,3.84180164,0.21893142
603.00497165,3.84180164,0.22031125
603.00497165,3.84180164,0.22031125
602.02649799,3.84180164,0.22077121
602.02649799,3.84180164,0.22077121
600.99910083,3.84180164,0.22261095
600.99910083,3.84180164,0.22261095
600.02062717,3.84180164,0.22721036
600.02062717,3.84180164,0.22721036
599.04215351,3.84180164,0.22859016
599.04215351,3.84180164,0.22859016
598.01475635,3.84180164,0.22951005
598.01475635,3.84180164,0.22951005
596.93843475,3.84180164,0.23042995
596.93843475,3.84180164,0.23042995
595.95996204,3.84180164,0.23226969
595.95996204,3.84180164,0.23226969
594.98148790,3.84180164,0.23502934
594.98148790,3.84180164,0.23502934
594.00301471,3.84180164,0.23686910
594.00301471,3.84180164,0.23686910
592.97561708,3.84180164,0.23778898
592.97561708,3.84180164,0.23778898
591.94821993,3.84180164,0.23916879
591.94821993,3.84180164,0.23916879
590.92082277,3.84180164,0.24146849
590.92082277,3.84180164,0.24146849
589.94234911,3.84180164,0.24468808
589.94234911,3.84180164,0.24468808
588.96387556,3.84180164,0.24698776
588.96387556,3.84180164,0.24698776
